BUG_ID,Area,Module,Severity,File,Lines,Description,Suggested Fix,Status
BUG-043,Frontend,Attendance Regularization,Medium,src/pages/admin/hr/attendance/AttendanceRegularization.jsx,126-134,"handleSubmit calls submitRegularization with no client-side validation: date can be empty reason can be blank check-in time can be after check-out time. Blank/invalid data passes silently to API.",Add validation: require date require reason and verify checkInTime < checkOutTime before calling API. Mark reason as required.,Fixed
BUG-044,Frontend,Attendance Regularization,Medium,src/pages/admin/hr/attendance/AttendanceRegularization.jsx,142-153,"handleAction (approve/reject) sets component-level 'error' state on failure but the action modal does not render the error inside it. If approve/reject fails the modal stays open with no visible error.",Add local actionError state and render it inside the action modal.,Fixed
BUG-045,Frontend,Attendance Reports,Medium,src/pages/admin/hr/attendance/AttendanceReports.jsx,117,"buildReportColumns(rows[0]) is called with the first row to infer columns. When rows is empty rows[0] is undefined. If buildReportColumns does not handle undefined gracefully it will throw crashing the table render.",Guard: const columns = buildReportColumns(rows.length > 0 ? rows[0] : null). Ensure buildReportColumns handles null/undefined by returning default columns.,Fixed
BUG-046,Frontend,My Attendance,Medium,src/pages/admin/hr/attendance/MyAttendance.jsx,371-394,"KPI stat cards display hard-coded denominators: / 9 (daily hours) / 40 (weekly) / 160 (monthly) / 28 (overtime). Not pulled from shift/attendance settings. Wrong for organisations using different work schedules.",Pull shift hours and expected monthly hours from useAttendanceSettings hook. Use settings.workingHoursPerDay and settings.overtimeSettings.monthlyCapHours as denominators.,Fixed
BUG-047,Frontend,My Attendance,Medium,src/pages/admin/hr/attendance/MyAttendance.jsx,159,"refreshMonth has a silent empty catch block. If monthly attendance fetch fails user sees no error — the table simply disappears or stays empty.",Add error state: catch (err) { setMonthError(err?.response?.data?.message || 'Failed to load attendance history'); setMonthData({ records: [] summary: null }); },Fixed
BUG-048,Frontend,Leave Management,Medium,src/pages/admin/hr/LeaveAbsence.jsx,49-51,"canApprove and canApply missing org-admin bypass. Admin with no specific 'leave.approve' RBAC slug sees the leave module but has no approve/apply buttons. Inconsistent with attendance and overtime pages that grant admin full rights.",Add: const isOrgAdmin = user?.role === 'admin'; const canApprove = canApproveLeave(allowedModules) || isOrgAdmin;,Fixed
BUG-049,Frontend,Leave Management,Medium,src/pages/admin/hr/LeaveAbsence.jsx,157,"fetchBalances triggers only when activeTab === 'balances' but no 'balances' tab is rendered in JSX. The Balances tab is completely missing from the rendered tab bar — balancesPage/fetchBalances/loadingBal are dead code.",Either add a 'balances' tab to the tab array and render the balances table or remove all dead balancesPage/fetchBalances/loadingBal state and the conditional effect.,Fixed
BUG-050,Frontend,Shift Management,Medium,src/pages/admin/shifts/ShiftManagement.jsx,154-159,"validate() only checks that startTime and endTime are non-empty strings. Does not validate endTime > startTime. A user can create a shift like 18:00-09:00 (inverted times) without warning which can break attendance calculations.",Add: if (form.startTime && form.endTime && form.startTime >= form.endTime) e.endTime = 'End time must be after start time';,Fixed
BUG-051,Backend,Jobs,Medium,src/jobs/exitTaskReminder.job.js,64-97,"Column `reminder_5d_sent` is named as if it fires 5 days before deadline but the query window is `due_at <= NOW() + INTERVAL '2 days'`. The flag name misleads developers — either wrong name or wrong interval.",Either rename column to reminder_2d_sent via migration or change INTERVAL back to '5 days' to match the column name.,Fixed
BUG-052,Database,Migration,Medium,src/migrations/tenants/084_create_tasks_tables.sql,1-35,"tasks table created with no indexes on assignee_id due_date or status. tasksReminder.job queries with date range and status filters. On large tenants this is a full sequential scan every hour per tenant.",Add in new migration: CREATE INDEX IF NOT EXISTS idx_tasks_assignee ON tasks(assignee_id); CREATE INDEX IF NOT EXISTS idx_tasks_due_status ON tasks(due_date status) WHERE is_deleted = FALSE;,Fixed
BUG-053,Database,Migration,Medium,src/migrations/tenants/086_add_reminder_tracking_to_tasks.sql,2-5,"Four `ALTER TABLE tasks ADD COLUMN` statements have no `IF NOT EXISTS` guard. Re-running this migration fails with 'column already exists' error leaving the tenant in a partially-migrated state.",Add IF NOT EXISTS to all four ALTER TABLE statements.,Fixed
BUG-054,Database,Migration,Medium,src/migrations/tenants/122_approval_workflow_engine.sql,65-74,"approval_delegations table missing index on delegate_employee_id. Most common query is 'find active delegations where this employee is the delegate' — full table scan without index.",Add: CREATE INDEX IF NOT EXISTS idx_approval_delegations_delegate ON approval_delegations (delegate_employee_id is_active);,Fixed
BUG-055,Database,Migration,Medium,src/migrations/tenants/128_locations_table.sql,6,"locations.code column VARCHAR(50) has no UNIQUE constraint. Duplicate location codes can be inserted and silently misrouted in any code that looks up a location by code.",Add: ALTER TABLE locations ADD CONSTRAINT uq_locations_code UNIQUE (code); (or partial unique index WHERE code IS NOT NULL),Fixed
BUG-056,Database,Migration,Medium,src/migrations/tenants/123_leave_encashment_accrual.sql,7-26,"leave_encashment_requests.leave_type and leave_accrual_ledger.leave_type are VARCHAR(100) free-text with no FK to leave_types table. Records become orphaned with stale names if a leave type is renamed or deleted.",Add leave_type_id INTEGER REFERENCES leave_types(id) ON DELETE RESTRICT columns and backfill from the text column.,Fixed
BUG-057,Backend,Jobs,Medium,src/jobs/attendanceCron.job.js,76,"runTenantMigrations is called on every cron tick for every active tenant. Slow or large migrations block attendance-processing for that tenant and cascade delays to all subsequent tenants in the loop.",Run runTenantMigrations exclusively at tenant-provisioning time and at application startup not inside the cron loop.,Fixed
BUG-058,Backend,Attendance Repository,Medium,src/modules/employees/attendance/attendance.repository.js,105,"findById hard-codes NULL::varchar AS shift_name instead of joining to shifts table. Migration 137 added attendance.shift_id FK. shift_name is always NULL for any caller (payslip generation attendance detail view).",Add LEFT JOIN shifts sh ON sh.id = a.shift_id and replace NULL::varchar AS shift_name with sh.name AS shift_name.,Fixed
BUG-059,Database,Migration,Medium,src/migrations/tenants/122_approval_workflow_engine.sql,31-46,"approval_requests.module is VARCHAR(50) free-text without CHECK constraint even though approval_workflows.module has an explicit CHECK constraint limiting values to the same enum. Arbitrary module strings can be inserted.",Add same CHECK constraint to approval_requests.module: CHECK (module IN ('leave' 'overtime' 'regularization' 'expense' 'shift_change')),Fixed
BUG-060,Backend,Jobs,Medium,src/jobs/exitSlaEscalation.job.js,136-191,"N+1 pattern: escalation loop calls pool.connect() per-row opens a transaction executes 2-3 queries then calls notifySlaBreach which fires 2-4 more pool queries per recipient. Unbounded pool connection usage per cron tick.",Batch DB writes: collect all escalation updates into single multi-row INSERT/UPDATE in one transaction. Move notifications to async queue after all DB writes complete.,Fixed
BUG-061,Backend,Auth Service,Low,src/modules/auth/auth.routes.js,147-152,"POST /mfa/disable validator marks `code` as `.optional()` which is misleading — code IS required when MFA is enabled. Could confuse maintainers into weakening enforcement.",Use .optional({ checkFalsy: true }) and add a comment explaining code is only required when MFA is currently enabled.,Fixed
BUG-062,Backend,Holidays Service,Low,src/modules/holidays/holidays.controller.js,33-54,"createDate updateDate and removeDate pass req.user.db_name as both `dbName` and `tenantDb` parameters — they are always identical. The distinction is meaningless and misleading.",Pass a single dbName and remove the redundant tenantDb parameter.,Fixed
BUG-063,Backend,Holidays Service,Low,src/modules/holidays/holidays.service.js,13-16,"loadSeedData() calls fs.readFileSync synchronously on every invocation blocking the Node.js event loop. If the seed file does not exist it throws an unhandled synchronous exception with an opaque ENOENT message.",Cache seed data in a module-level variable after first read. Wrap readFileSync in try/catch and throw a descriptive ApiError.,Fixed
BUG-064,Backend,Notifications,Low,src/modules/notifications/notifications.repository.js,32-68,"buildUserScope calls ensureMessagingEmployeeId (a DB query) with no try/catch. If that query fails the error propagates and causes the entire mark-read/delete operation to fail with 500.",Wrap ensureMessagingEmployeeId in try/catch inside buildUserScope and default messagingEmpId to null on error.,Fixed
BUG-065,Backend,Tenant Service,Low,src/modules/tenant/tenant.service.js,52-58,"tenantMigrationsReady is a module-level Set that is never cleared. If a new migration file is added without a process restart tenant DBs already cached in the Set skip the new migration. In rolling restarts some nodes apply the migration and others do not.",Document this trade-off explicitly or implement cache invalidation by hashing the migrations directory contents and re-checking when hash changes.,Fixed
BUG-066,Frontend,Shift Management,Low,src/pages/admin/shifts/ShiftManagement.jsx,125-129,"handleSearch uses clearTimeout(debounceRef.current) but debounceRef.current is never cleared on component unmount. If the component unmounts while a debounce timer is pending the timer fires and calls load() on an unmounted component.",Add cleanup: useEffect(() => () => clearTimeout(debounceRef.current) []);,Fixed
BUG-067,Frontend,Overtime Approvals,Low,src/pages/admin/hr/attendance/OvertimeApprovals.jsx,114-141,"loadKpis and load both call getOvertimeRecords({ limit: 200 }) on mount and after every action — two identical API calls fired simultaneously. KPI and table data are always the same.",Combine into a single fetch: load records once and compute KPI counts from the result inside the same callback.,Fixed
BUG-068,Frontend,Attendance Regularization,Low,src/pages/admin/hr/attendance/AttendanceRegularization.jsx,375,"approve action button uses variant='Approve' (capital-A). Inconsistent with rest of app variants ('teal' 'danger' etc). Will silently fall through to wrong style if Button.jsx is refactored.",Rename the Button variant from 'Approve' to 'success' or 'emerald' in Button.jsx and update all call sites.,Fixed
BUG-069,Backend,Jobs,Low,src/jobs/tasksReminder.job.js,104,"`SELECT * FROM tenants WHERE status = 'active'` overfetches all columns including potentially sensitive data. Only db_name and id are needed.",Replace with: SELECT id db_name FROM tenants WHERE status = 'active',Fixed
BUG-070,Backend,Jobs,Low,"src/jobs/leaveCarryForward.job.js, src/jobs/exitSlaEscalation.job.js, src/jobs/exitTaskReminder.job.js and 7 other job files","leaveCarryForward.job.js:10 etc.","Ten job files call `await getTenantPool(...)` but getTenantPool is synchronous. Harmless now but misleads readers and will silently break if the implementation is ever made async.",Remove `await` from all call sites: `const pool = getTenantPool(tenant.db_name);`,Fixed
BUG-071,Database,Migration,Low,src/migrations/tenants/124_payroll_engine.sql,111,"payslips.pay_period_id has no explicit ON DELETE clause (defaults to NO ACTION) while the sibling payroll_runs.pay_period_id uses ON DELETE RESTRICT. Inconsistent semantics. No index on payslips.pay_period_id causing join scans.",Add ON DELETE RESTRICT explicitly and: CREATE INDEX IF NOT EXISTS idx_payslips_pay_period ON payslips (pay_period_id);,Fixed
BUG-072,Database,Migration,Low,src/migrations/tenants/127_shift_change_staged_workflow.sql,10-16,"Stage-status columns (manager_status hr_status current_stage) added without CHECK constraints. Any value including typos can be written without error.",Add CHECK constraints: ADD COLUMN IF NOT EXISTS manager_status VARCHAR(20) CHECK (manager_status IN ('Pending' 'Approved' 'Rejected' 'Skipped')) etc.,Fixed
BUG-073,Backend,Attendance Cron,Low,src/modules/employees/attendance/attendanceCron.service.js,165-195,"Absent records were created without stamping shift_id so reports could not determine which shift was missed. Also the old code passed the entire record object to logCron.newValue potentially logging sensitive data.",After upsert resolve the employee's shift and stamp shift_id via UPDATE WHERE shift_id IS NULL. (Fixed in recent session — verify deployment.),Fixed
BUG-074,Backend,Payroll Engine,Low,src/modules/payroll/payrollEngine.service.js,567,"COMPLETED payroll runs re-approvable — the allowed-status guard included COMPLETED as a valid state to transition from meaning already-generated payslips could be re-triggered. (Fixed in Agent 1 pass — verify deployment.)",Change allowed-status guard to ['DRAFT' 'PROCESSING'] only.,Fixed
