BUG-ID,Severity,Category,Project,File Path,Lines,Title,Description,Impact,Fix / Recommendation
AUTH-011,High,Session Management,API,d:\HRIS_API\src\modules\auth\auth.service.js,"1684-1762",No session invalidation after password change,"changePassword() updates the hash and returns success but does NOT revoke existing refresh tokens for that user. All active sessions (on other devices/browsers) remain valid with the old refresh token","If account is compromised and owner changes password, attacker's existing session persists. Account takeover survives a password reset","After updating password hash, run: UPDATE public.refresh_tokens SET revoked = TRUE WHERE user_id = $1 AND role = $2 to invalidate all active sessions."
AUTH-012,High,CSRF,API,d:\HRIS_API\src\modules\auth\auth.routes.js,"28-135",No CSRF protection on state-changing auth endpoints,"POST /auth/logout, POST /auth/change-password, POST /auth/forgot-password lack CSRF tokens. recaptcha middleware only covers /login","Cross-site form submissions can force logout, trigger password change emails, or lock accounts","Implement double-submit cookie CSRF protection or use the Synchronizer Token Pattern on all POST/PUT/DELETE auth endpoints."
AUTH-013,High,Audit / Forensics,API,d:\HRIS_API\src\modules\auth\auth.service.js,"1559-1588",Impersonation codes stored in-memory with no audit log,"issueImpersonationCode() and redeemImpersonationCode() use a plain JS Map. No database record. No log of who impersonated, which tenant, from what IP, or when","Server restart wipes all pending codes. Multi-instance deployments break impersonation entirely. No forensic trail if a tenant account is accessed improperly by support","Store impersonation codes in the database (public.impersonation_codes table) with: code_hash, generated_by, tenant_id, generated_at, redeemed_at, redeemed_from_ip. Log every redemption."
AUTH-014,High,Payment Security,Frontend,d:\HRIS\src\pages\admin\account\PaymentPage.jsx,"52-75",Stripe session_id passed in URL query param,"Payment confirmation reads session_id from ?session_id=xxx in the URL. URL params are saved in browser history, server logs, and referrer headers before setSearchParams removes them","Stripe session ID exposed in browser history and logs. Could allow replay attacks or session hijacking in Stripe payment flows","Pass session confirmation via POST body or use Stripe's redirect_url mechanism that hashes the session. Never embed financial session IDs in URLs."
AUTH-015,Medium,Insecure Storage,API,d:\HRIS_API\src\modules\auth\auth.service.js,"580-603",Refresh token JTI stored unhashed in database,"issueRefreshToken() inserts the raw UUID jti directly into public.refresh_tokens. If the database is breached, all active JTIs are exposed","Attacker with DB read access can forge valid refresh tokens by crafting JWTs with known JTIs signed with any captured JWT secret","Hash JTI before storing: const hashedJti = crypto.createHash('sha256').update(jti).digest('hex'). Compare hashes on verification."
AUTH-016,Medium,Missing Rate Limit,API,d:\HRIS_API\src\modules\auth\auth.routes.js,"47-55",No dedicated OTP generation rate limit,"POST /auth/forgot-password uses the generic authLimiter. No per-email rate limit on OTP generation","Attacker can flood a target's email inbox or brute-force the 6-digit OTP within the general rate limit window","Add email-keyed rate limiter: max 3 OTP requests per email per 15 minutes. Key generator: req => req.body.email"
AUTH-017,Medium,Role Detection,Frontend,d:\HRIS\src\services\api.js,"44-59",Superadmin role detection fragile and case-sensitive,"Role read from localStorage, string-cleaned with replace(/[_\s]/g, ''), compared case-sensitively to 'superadmin'. If role stored with different casing or format, wrong refresh flow is used","Admin users might get employee token-refresh path, causing 401 loops or wrong cookie clearing on logout","Normalize role to lowercase before comparison. Centralise role resolution in AuthContext rather than re-reading localStorage in api.js."
AUTH-018,Medium,Configuration,Frontend,"d:\HRIS\src\services\api.js, d:\HRIS\src\pages\auth\Login.jsx","3, 10",API URL falls back to HTTP localhost if env var missing,"Both api.js and Login.jsx default to http://localhost:5000 when VITE_API_URL is unset. Login.jsx has its own separate copy of this fallback (inconsistency)","If deployed without env var, all auth requests go over plain HTTP to localhost — credentials sent unencrypted. Two separate fallback definitions may diverge","Remove the localhost fallback or make it throw in production builds. Remove the duplicate fallback in Login.jsx and import the base URL from api.js."
AUTH-019,Medium,Session Management,Frontend,d:\HRIS\src\context\AuthContext.jsx,"326-329",refreshAccessProfile has no debounce or cancellation,"Interval timer fires every 3 minutes calling refreshAccessProfile(). No AbortController. Previous request still in-flight when next fires","Stale responses can overwrite fresh state. If the user logs out during a refresh, the completed refresh re-populates auth state causing ghost sessions","Add AbortController per refresh call. Cancel previous controller before starting a new one. Clear interval on logout."
AUTH-020,Medium,Module Access Control,Frontend,d:\HRIS\src\context\AuthContext.jsx,"231-240",Messages module hardcoded as always-available,"hasModule('messages') returns true unconditionally (line 232). system-settings returns true for any admin regardless of allowedModules","Cannot restrict message access to specific roles or tenants. Admin always sees settings even if not in their plan","Remove hardcoded true return. Route both through the standard planModuleKeys / allowedModules check path."
AUTH-021,Medium,IDOR,Frontend,d:\HRIS\src\services\employeeProfileService.js,"12-15",Employee profile service accepts arbitrary IDs,"getEmployeeProfile(id) directly calls GET /employees/${id} with no frontend ownership check. Called from multiple locations with user-supplied IDs","Any logged-in user who knows another employee's ID can fetch their complete profile data if the backend does not enforce ownership","Frontend should verify id === currentUser.employeeId or currentUser has admin/manager role before calling. Consider passing user role context to the service."
AUTH-022,Medium,Data Exposure,Frontend,d:\HRIS\src\pages\admin\Dashboard.jsx,"182-186",Dashboard loads up to 500 employee records client-side,"fetchAdminDashboard() calls listEmployees({ limit: 500 }) to compute birthdays and anniversaries. All employee names, emails, join dates loaded into browser memory","Excessive data fetched client-side. Employees' PII in browser memory and potentially in browser devtools","Move birthday/anniversary calculation to a dedicated backend API endpoint that returns only counts or relevant names within a narrow date window."
AUTH-023,Medium,Exit Data Exposure,Frontend,d:\HRIS\src\services\exitManagementService.js,"3-30, 194-197",Exit records stored unencrypted in localStorage as fallback,"createResignation and getLocalExitForms read/write sensitive exit/termination data (reason, settlement) to localStorage fallback store","Termination reason and settlement details visible to any script on the page and persist after logout until manually cleared","Remove localStorage exit record fallback. If offline support is required, use IndexedDB with encryption (e.g., via CryptoKey API)."
AUTH-024,Low,Password Policy,API,d:\HRIS_API\src\modules\auth\auth.service.js,N/A,Password expiry not enforced at login,"passwordExpiryDays is defined in password policy settings but the login flow never checks if a user's password has exceeded that age","Users continue using expired passwords indefinitely despite the policy being configured. Policy setting has no effect","On successful credential verification, query password_changed_at. If (now - password_changed_at) > expiry_days, return { passwordExpired: true } to force a password reset before issuing tokens."
AUTH-025,Low,HTTP Security Headers,API,d:\HRIS_API\src\modules\auth,All auth endpoints,Missing security headers on auth responses,"Auth endpoints do not set X-Frame-Options: DENY, X-Content-Type-Options: nosniff, or Strict-Transport-Security","Missing HSTS leaves auth endpoints accessible over HTTP. Missing X-Frame-Options allows clickjacking of login page. Missing nosniff allows MIME-type sniffing attacks","Add helmet.js middleware globally or add these headers in auth controller responses. Verify HSTS is set on the load balancer/nginx if using TLS termination there."
AUTH-026,Low,Audit Gap,API,d:\HRIS_API\src\modules\auth\auth.service.js,"1569-1575",Impersonation code generation has no TTL enforcement in multi-server setup,"pruneExpiredCodes() only runs lazily on next issueImpersonationCode() call. In low-traffic periods, expired codes remain in memory","Expired impersonation codes linger in memory longer than the 5-minute TTL. Harmless in single-server but misleading if code leaks","Switch to DB-backed storage (AUTH-013 fix). Until then, run pruneExpiredCodes() on a setInterval every 60 seconds."
AUTH-027,Low,Input Validation,Frontend,d:\HRIS\src\pages\admin\finance\Payroll.jsx,"67-72",Salary inputs have no client-side bounds validation,"net_salary, earnings, deductions sent to backend without checking for negative values, non-numeric input, or unrealistically large numbers","Backend may accept or reject silently. Users can inadvertently submit negative salaries or overflow values","Add min=0 and max=9999999 constraints on salary number inputs. Validate totals before submission."
AUTH-028,Low,Error Handling,Frontend,"d:\HRIS\src\pages\admin\hr\Onboarding.jsx, d:\HRIS\src\pages\admin\documents\Documents.jsx","55-78, 61",Silent error swallowing in data loads,"catch(() => setEmployees([])) and missing try-catch on /admin/documents leave users seeing empty lists with no explanation","Users cannot distinguish between ""no data"" and ""failed to load"". Support and debugging are severely hampered","Show a toast or inline error message on catch. Log error details to console in development. Never swallow errors silently in catch blocks."
